absint,absintha
vinjak,vinjaka
vino,vino
vino,vinske
vino,vinski
vinski-kamen,vinski-kamen
višnja,višenj
viski,viskija
višnja,višnje
višnja,višnjev
višnja,višnjeva
višnja,višnjeve
višnja,višnjevega
voda,voda
voda,vode
voda,vodi
vodka,vodka
vodka,vodke
voda,vodnih
voda,vodo
meso,vrat
meso,vratovine
meso,vratu
žafran,žafran
žafran,žafrana
žafran,žafranika
žafran,žafranike
žajbelj,žajbelj
žajbelj,žajbla
žajbelj,žajblja
žajbelj,žajbljevih
meso,zajca
kakav,zajčkom
meso,zajec
meso,zarebrnice
zaseka,zaseka
zaseka,zaseke
sir,zbrinc
sir,zbrinc-parmezan
sir,zbrinca
sir,zdenka
zdrob,zdrob
zdrob,zdroba
želatina,želatin
želatina,želatina
želatina,želatinafix
želatina,želatinastega
želatina,želatine
želatina,želatini
želatina,želatininih
želatina,želatino
žele,žele
žele,želeja
zelenjave,zelenjava
zelenjava,zelenjave
zelenjava,zelenjavna
zelenjava,zelenjavne
zelenjava,zelenjavni
zelenjava,zelenjavo
žele,želin
žele,želina
zelje,zelja
zelje,zelje
šunka,želje
zelje,zeljna
kruh,žemelj
kruh,žemlja
kruh,žemlje
kruh,žemlji
kruh,žemljic
kruh,žemljice
kruh,žemljici
žganje,žganja
žganje,žganje
žito,žito
meso,zrezek
meso,zrezka
meso,zrezke
meso,zrezki
meso,zrezkov
